Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Option 23,Option 24,Option 25,Option 26,Option 27,Option 28,Option 29,Option 30,Option 31,Option 32,Option 33,Option 34,Option 35,Option 36,Option 37,Option 38,Option 39,Option 40,Option 41,Option 42,Option 43,Option 44,Option 45,Option 46,Option 47,Option 48,Option 49,Option 50,Option 51,Option 52,Option 53,Option 54,Option 55,Option 56,Option 57,Option 58,Option 59,Option 60,Option 61,Option 62,Option 63,Option 64,Option 65,Option 66,Option 67,Option 68,Option 69,Option 70,Option 71,Option 72,Option 73,Option 74,Option 75,Option 76,Option 77,Option 78,Option 79,Option 80,Option 81,Option 82,Option 83,Option 84,Option 85,Option 86,Option 87,Option 88,Option 89,Option 90,Option 91,Option 92,Option 93,Option 94,Option 95,Option 96,Option 97,Option 98,Option 99,Option 100,Option 101,Option 102,Option 103,Option 104,Option 105,Option 106,Option 107,Option 108,Option 109,Option 110,Option 111,Option 112,Option 113,Option 114,Option 115,Option 116,Option 117,Option 118,Option 119,Option 120,Option 121,Option 122,Option 123,Option 124,Option 125,Option 126,Option 127,Option 128,Option 129,Option 130,Option 131,Option 132,Option 133,Option 134,Option 135,Option 136,Option 137,Option 138,Option 139,Option 140,Option 141,Option 142,Option 143,Option 144,Option 145,Option 146,Option 147,SET
Ҳомиладорлик муддатини аниқлашда қуйидагиларга асосланилади:,Ҳаммаси тўғри,Бачадон туби баландлиги,УЗИ  маълумотлари,Биринчи марта гинекологга келганда қин орқали текшириш маълумотлари,Охирги хайз санаси,Ҳаммаси тўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
20 хафталик  ҳомиладорликда бачадон туби  аниқланади,киндикдан  2 бармоқ пастда,киндик сохасида,киндикдан 2 бармоқ юқорида,киндикдан  2 бармоқ пастда,киндик билан қов  ўртасида,қов сохасида,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
36 ҳафталик ҳомиладорликда бачадон туби  туриши,Ханжарсимон ўсиқгача боради,қов ва киндик ўртасида,киндик ва  ханжарсимон ўсиқ ўртасида,Ханжарсимон ўсиқгача боради,ханжарсимон ўсиқдан 2 бармоқ пастда,киндикдан 2 бармоқ юқорида,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Ҳомиладорликнинг  қайси муддатида ҳомила юрак уриши эшитила бошлайди,20 ҳафта,16 ҳафта,20 ҳафта,12 ҳафта,25 ҳафта,32 ҳафта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Бачадон туби баландлиги симфиз сохасида бўлса ҳомиладорлик муддати,12 ҳафта,5-6 ҳафта,7-8 ҳафта,9-10 ҳафта,12 ҳафта,16 ҳафта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Туғруқ йўлларининг етуклик даражаси ҳомиладорликнинг қайси муддатида аниқланади,38-39 ҳафта,36 ҳафта,38-39 ҳафта,40-41 ҳафта,32 ҳафта,37-38 ҳафта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Ҳомиладорликда УЗИ ёрдамида қуйидаги маълумртлар олиш мумкин,ҳаммаси тўғри,ҳомиладорлик муддати,"ҳомила жойланиши (вазияти), плацента  жойлашуви ва унинг патологияси",ривожланмаган  ҳомиладорлик,ҳомила туғма нуқсонлари,ҳаммаси тўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Леопольд-Левицкий усули билан аниқланади:,ҳаммаси,"ҳомила ҳолати, позицияси ва кўриниши",ҳомилани олдин келган қисмини чаноқнинг кириш текислигига  нисбати,ҳомилани олдин келган қисми,"бачадон туби баландлиги, ҳомиладорлик муддати",ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Леопольд-Левицкий  усулининг  2  боскичи билан  аниқланади:,"ҳомила ҳолати, позицияси ва кўриниши",ҳомилани олдин келувчи қисми характери,"ҳомила ҳолати, позицияси ва кўриниши",чаноққа кириш текислигига олдин келувчи қисм нисбати,бачадон туби   туриши,ҳаммаси тўғри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Ҳомиладорликнинг 40- ҳафталигида ҳомила ўрта ўлчамларида бачадон туби баландлиги ва  қорин айланаси қуйидагича бўлади,100 ва 32 см,105 ва 38 см,85 ва 32 см,95 ва 32 см,85 ва 30 см,100 ва 32 см,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Диагонал конъюгата ўлчанади     ҳомила боши,чаноқ кириш қисмига тақалиб турганда,чаноқ кириш қисмига тақалиб турганда,кичик сегменти билан чаноқ кириш қисмида турганда,катта сегменти билан  чаноқ кириш қисмида  турганда,кичик  чаноқ  бўшлиғида жойлашганда,чаноқ тубида,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Диагонал коньюгатага асосланиб аниқланади:,чин коньюгата,чаноқ  кириш қисмининг  кўндаланг ўлчами,чин коньюгата,ташқи коньюгата,чаноқ  кенг қисмининг тўғри ўлчами,чаноқ  тор қисмининг  тўғри ўлчами,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"£к-ёй  симон чок ўнг қийшиқ ўлчамда, кичик лиқилдоқ олдинда чапда",1 позиция олд кўриниш,2 позиция орқа кўриниш,2 позиция олд кўриниш,1 позиция олд кўриниш,1 позиция орқа кўриниш,олд бош кўриниши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"£к-ёй симон чок чап қийшиқ ўлчамда, кичик лиқилдоқ олдинда ўнгда",2 позиция олд кўриниш,1 позиция олд кўриниш,1 позиция орка кўриниш,2 позиция олд кўриниш,2 позиция орқа кўриниш,ёйилган сўкилиш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Қовнинг ўрта ички юзаси, сон суягининг бошчаси тушадиган бўшлиғининг ўртаси, 2-3 думғаза умуртқа бирлашмаси қуйидаги юзага тўғри келади",кенг қисми,кириш қисми,кенг қисми,тор қисми,чиқиш қисми,чаноқ юзаси  чегараси нотўғри кўрсатилагн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Кўндаланг ўлчам 10.5 см кичик чаноқнинг қайси юзасига мос,тор қисми,кириш қисми,кенг қисми,тор қисми,чиқиш қисми,тор чаноқ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Чин коньюгата ўлчами,11см,10см,11см,12см,13см,20-21см,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Чин коньюгатани  қуйидагига қараб ҳисоблаш мумкин эмас.,Михаэлс ромбининг горизонтал диагонали,диагонал коньюгата,Михаэлс ромбининг вертикал диагонали,Михаэлс ромбининг горизонтал диагонали,ташқи коньюгата,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Биринчи ҳомиладорларда  40 ҳафтада ҳомила боши жойланиши керак,чаноқ кириш қисмига тақалган,"чаноқ  кириш қисмига тақалмаган, ҳаракатчан",чаноқ кириш қисмига тақалган,кичик сегменти билан,катта сегменти билан,чаноқнинг  тор қисмида,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Ҳомила холатини баҳолашга имкон беради:,ҳаммаси,ҳомила аускультацияси,1 суткада ҳомила харакатланиши (кимирлаш) сони,амниоскопия,қондаги гормон миқдори,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Амниоцентез ёрдамида аниқлаш мумкин:,ҳаммаси,ҳомила гемолитик касаллиги,ҳомила ривожланиш нуқсонлари,ҳомила жинси,ҳомила  гипоксияси,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Ҳомила етилганлигининг асосий  мезон:,ҳомила узунлиги,ҳомила узунлиги,ҳомила массаси,ҳомиладорлик муддати,Апгар шкаласи,Чоклар ва  лиқилдоклар холати,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Ҳомиланинг етуклиги  қуйидаги мезонга қараб аниқланади:,ҳомиладорлик муддати,ҳомила холати,ҳомила массаси,ҳомиладорлик муддати,ҳомила жисмоний ривожланиш белгилари,Апгар шкаласи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Плацентани бачадонга энг кўп бирикадиган ўрни,бачадон юқори қисмининг олдинги ёки орқа девори,бачадон юқори қисмининг олдинги ёки орқа девори,пастки  сегмент ва  бачадон бўйни,пастки сегмент,бачадон туби,бачадон ён деворлари ва пастки сегмент,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Ҳомиладорликда юрак-қон томир тизими қуйидагича ўзгаради.,ҳаммаси,чап қоринча физиологик гипертрофияси,юрак минутлик ҳажмини  ортиши,юрак қисқариш сони ошиши,юрак горизонтал холати,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Ҳомиладорликда  бачадон ўзгариши,ҳаммаси,мушак толалари гипертрофияси,мушак толалари гиперплазияси,хар бир мушак толасини узайиши,бачадон ички ҳажмини ошиши,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Амниоскопия ҳомиладорликда қуйидаги  диагностикада ёрдам беради,ҳаммаси,ҳомила пуфаги йўқлиги,ҳомила олди сувларини ранги,олд сувлар миқдори,ҳомила холати,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Ҳомиладорликнинг эҳтимолий (тахминий)   белгиси,"кўкрак безларини катталашиши, огиз сути (молозиво) ажралиши","юз териси, қорин нок чизиғи, сўрғичлар, ташқи жинсий аъзолар  пигментацияси","кўкрак безларини катталашиши, огиз сути (молозиво) ажралиши",қорин терисида стриагравидарум пайдо булиши,қорин катталашиши,"таъм, хид ўзгариши, эмоционал лабиллик",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Ҳомиладорликнинг  шубҳали  белгилари,ҳид сезиш ўзгариши,ҳайз тўхташи,ҳомиладорлик  иммунологик биологик реакцияси мусбат,ҳид сезиш ўзгариши,"кўкрак безлари катталашиши, молозиво ажралиши",бачадон катталашиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Ҳомиладорликнинг  аниқ белгилари,ҳомила кисмларини пальпацияси,ҳайз тўхташи,аёл ҳомила қимирлашини сезиш,ҳомила кисмларини пальпацияси,қин ва бачадон бўйни цианози,бачадон ўлчамларини катталашиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Пальпацияда аниқланадиган ҳомиладорликни эрта белгилари (нотўғрисини чиқаринг),бачадоннинг бўйин олди қисми  (перешеек) қаттиқлашиши,механик таъсирланиш натижасида бачадон консистенцияси осон ўзгариши,бачадон бурчакларидан бирининг бўртиб чиқиши -асимметрияси,бачадоннинг бўйин олди қисми  (перешеек) қаттиқлашиши,"бачадон ўлчамларини катталашиши, юмшоқ консистенцияга эга бўлиши",бачадон бўйни олди қисмини  юмшоқлашиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
КТГ  стрессиз тест - бу ҳомила юрак қисқаришлар частотаси ўзгариши,онада функционал синамалар ўтказилганда ва ҳомила қимирлаганда,онада функционал синамалар ўтказилганда ва ҳомила қимирлаганда,ҳомиладор аёлга окситоцин юборилганда,атропин  томчилаб юборилганда,ҳаммаси,ҳеч бири,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Ҳомила чаноқ билан олд келишида туғруқнинг биринчи  даврида  асоратлар:,ҳаммаси,қоғоноқ сувини эрта кетиши,туғруқ кучлари сустлиги,киндик тушиб колиши,ҳомила гипоксияси,ҳаммаси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Физиологик ҳомиладорликда юрак қон томир тизимида қуйидаги ўзгаришлар кузатилади:,ҳеч қайсиси,қоннинг систолик босими ортиши,қоннинг диастолик босими  ортиши,периферик қон томирларининг қаршилиги ортиши,айланиб юрган қон ҳажмининг пасайиши,ҳеч қайсиси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
